50th British Academy Film Awards ,Royal Albert Hall,List of concert halls,Teatro Dal Verme,The Last Supper (Leonardo),Jesus
Jonetani Galuinadi ,Fiji,Fijian language,Fiji,Christianity,Jesus
Mitar Mirić ,Ugljevik,List of cities in Bosnia and Herzegovina,Sarajevo,Tiberius,Jesus
2017 World Taekwondo Championships – Women's middleweight ,2017 World Taekwondo Championships,Taekwondowon,South Korea,Christianity,Jesus
Ivesia sericoleuca ,Taxonomy (biology),Taxidermy,Taxonomy (biology),Carl Linnaeus,Jesus
Prunus debilis ,Taxonomy (biology),Taxidermy,Taxonomy (biology),Carl Linnaeus,Jesus
San Miniato Basso ,Frazione,Comune,Commune,Unitarianism,Jesus
James Thorpe (soccer) ,"East Longmeadow, Massachusetts",City,List of urban areas by population,Toluca,Jesus
Hindle Wakes (play) ,Hindle Wakes (dish),Bolton,Districts of England,List of cultural icons of England,Jesus
2016–17 Swiss Handball League ,Swiss Handball League,Switzerland,German language,Denmark,Jesus
Digit (magazine) ,Category:Indian science and technology magazines,Category:Indian computer magazines,India,Irreligion in India,Jesus
Emperor Xuanzong of Tang (9th century) ,Emperor Xuanzong of Tang,Tang Ming Huang (TV series),Chinese characters,Islamic calligraphy,Jesus
Critics' Choice Movie Award for Best Actress ,Glenn Close,Guardians of the Galaxy (film),James Gunn,Paul Verhoeven,Jesus
In Deep (Tina Arena album) ,Album,Phonograph record,Spiral,Golden ratio,Jesus
Fuentesecas ,List of sovereign states,Lists of countries and territories,List of sovereign states,Holy See,Jesus
Umar Muhayshi ,Circassians,Flag of Adygea,Russia,Lithuania,Jesus
Joseph D. Stewart ,United States,Americas,Demonym,Greeks,Jesus
Momofuku (restaurants) ,New York City,Midtown Manhattan,Central business district,Crown (headgear),Jesus
"Ipswitch, Inc. ",List of legal entity types by country,Template:Lang,Language,Indonesian language,Jesus
River Divelish ,Fifehead Neville,Dorset,Counties of England,List of cultural icons of England,Jesus
Taktisches Luftwaffengeschwader 33 ,Germany,Listen to this article,Germany,Christianity,Jesus
Robert Brooke (East India Company officer) ,Robert Brooke (Virginia),Governor of Virginia,Flag and seal of Virginia,Thomas Jefferson,Jesus
The Good Life (The Collective song) ,Single (music),Revolutions per minute,Minute,Computus,Jesus
Samuel Gardner (MP) ,House of Commons of England,House of Commons of Great Britain,Parliament of Scotland,Protestantism,Jesus
Isaccea ,Geographic coordinate system,Template:Coord,Wikidata,English Wikipedia,Jesus
Harajuku (dance project) ,Pop music,Popular music,Pop music,The Beatles,Jesus
"Kızılkaya, Kalecik ",List of sovereign states,Lists of countries and territories,List of sovereign states,Holy See,Jesus
1802 in the United States ,1801 in the United States,1800 in the United States,1799 in the United States,John Adams,Jesus
Wambool old-rail truss overbridges ,"Main Western railway line, New South Wales",Track gauge,Rapid transit track gauge,Denmark,Jesus
Medical Care Research and Review ,Medical Care (journal),Medical Care Research and Review,Outline of academic disciplines,Church music,Jesus
Chilbosan (North Chungcheong) ,Summit,Summit (meeting),Head of state,George Washington,Jesus
Auersberg (Hilders) ,Milseburg,Summit,Dominican Republic,Hatuey,Jesus
1979 Liberian Premier League ,Liberian Premier League,Liberia,Flag of Liberia,National coat of arms,Jesus
AFC Rocar București ,Stadionul ANEFS,Bucharest,Budapest,Nazism,Jesus
Lesotho at the 2012 Summer Paralympics ,List of IOC country codes,International Olympic Committee,Talk:International Olympic Committee,User talk:Evanh2008,Jesus
Éric Decroix ,"Croix, Nord",Communes of France,Paris Commune,Marxism and religion,Jesus
Michael Gilbertson (composer) ,"Dubuque, Iowa",City,List of urban areas by population,Toluca,Jesus
Late Night Tales: David Shrigley ,Compilation album,Performing arts,Performance art,Antithesis,Jesus
Unconditional Love (Glen Campbell album) ,Album,Phonograph record,Spiral,Golden ratio,Jesus
ELETTRA ,Trieste,478 Tergeste,List of minor planet discoverers,Denmark,Jesus
Huang Xin ,Huang Xin (artist),Shandong,Jinan,Qianlong Emperor,Jesus
List of Qurchi-bashis ,Military of the Safavid dynasty,Qizilbash,Tariqa,Islam,Jesus
2012 Penn Quakers football team ,Penn Quakers football,2019 Penn Quakers football team,Ivy League,Congregationalism in the United States,Jesus
Ice and the Sky ,Luc Jacquet,Bourg-en-Bresse,France,Christians,Jesus
"Distant Thunder (Upstairs, Downstairs) ",Bill Bain (director),Talk:Bill Bain (director),Portal:Biography,Jesus
Jakobstad ,Coat of arms of Jakobstad,Jakobstad,Finland,Runestone,Jesus
Obskure ,Brazil,Geographic coordinate system,Geodesy,Mesopotamia,Jesus
Louis R. Chênevert ,Canada,Listen to this article,Canada,Anno Domini,Jesus
The Last Waltz (1978 album) ,Soundtrack album,Album,Phonograph record,The Beatles,Jesus
Salomon Raj ,Indian name,Talk:Indian name,Portal:India,Gautama Buddha,Jesus
Long Live the Past E.P. ,Extended play,Sound recording and reproduction,Sound effect,Star Wars,Jesus
Cyclic adenosine monophosphate ,CAS Registry Number,Identifier,Ford Model T,Denmark,Jesus
Guy D'Oyly-Hughes ,Salt Lake City,List of capitals in the United States,Capital city,Constantinople,Jesus
Lehigh Carbon Community College ,"Schnecksville, Pennsylvania",Census-designated place,Unincorporated area,Denmark,Jesus
Bolivia national under-20 football team ,List of national association football teams by nickname,Talk:List of national association football teams by nickname,Portal:Association football,Egyptians,Jesus
Ministry of People's Security ,Pyongyang,Pyeongchang County,Pyongyang,Jerusalem,Jesus
MTV Ray Tracer graphic file ,Netpbm,Category:Articles with HTML markup,Template:Abbr,Acronym,Jesus
"St. Augustine South, Florida ",Census-designated place,Place (United States Census Bureau),City,Mesopotamia,Jesus
Field Foundation of New York ,New York (state),U.S. state,Commonwealth (U.S. state),John Adams,Jesus
Journal of Experimental & Clinical Cancer Research ,Outline of academic disciplines,Discipline (academia),Outline of academic disciplines,Church music,Jesus
Ahmad Kola ,Bala Ahmad Kola,Geographic coordinate system,Geodesy,Mesopotamia,Jesus
Big Mountain 2000 ,Video game developer,Video game industry,Game design,Devil,Jesus
Mario Massa ,Italy,Geographic coordinate system,Geodesy,Mesopotamia,Jesus
1964 elections in India ,India,Flag of India,National flag,National coat of arms,Jesus
Holland Park Mews ,Geographic coordinate system,Template:Coord,Wikidata,English Wikipedia,Jesus
Pseudoalteromonas marina ,Taxonomy (biology),Taxidermy,Taxonomy (biology),Carl Linnaeus,Jesus
"Slater Building (Worcester, Massachusetts) ",National Register of Historic Places,Canadian Register of Historic Places,English language,Gospel of Matthew,Jesus
Two-party system ,Category:Politics,Library catalog,Sterling Memorial Library,Arabs,Jesus
All the Good Ones Are Gone ,Single (music),Revolutions per minute,Minute,Computus,Jesus
Teatro Bradesco ,Template:Translated page,Template:Translated page/doc,Featured content – the best of Wikipedia,List of Dewey Decimal classes,Jesus
Utricularia breviscapa ,Taxonomy (biology),Taxidermy,Taxonomy (biology),Carl Linnaeus,Jesus
Elena Braslavsky ,Pianist,Motion capture,Military science,Renaissance,Jesus
Berkshire County Cricket Club ,James Morris (cricketer),Welwyn Garden City,Hertfordshire,Star Wars,Jesus
Jan Carlos Hurtado ,Spanish naming customs,Naming customs of Hispanic America,Spanish naming customs,Christianity,Jesus
The Dave Ramsey Show (TV program) ,The Dave Ramsey Show (radio program),The Dave Ramsey Show (TV program),Talk show,Celebrity,Jesus
43rd Tactical Missile Squadron ,United States,Americas,Demonym,Greeks,Jesus
