"Andrei Timofeyev","Eastern Slavic naming customs","Russia","Adolf Hitler"
"List of state leaders in 1833","List of state leaders in 1832","Head of state","Adolf Hitler"
"1971 in the Vietnam War","1970 in the Vietnam War","Anti-communism","Adolf Hitler"
"Syzransky District","Districts of Russia","Russia","Adolf Hitler"
"Muroni","Vampire","Balkans","Adolf Hitler"
"Satyanarayan Singh (U.P. politician)","Satyanarayan Singh (Bihar politician)","Portal:Communism","Adolf Hitler"
"Roger Cuche","Boxing","Sport","Adolf Hitler"
"Jean-Baptiste Thorn","Remich","Germany","Adolf Hitler"
"Vladimir Kirillov","Russian language","Russia","Adolf Hitler"
"Companies listed on the New York Stock Exchange (E)","New York Stock Exchange","Classical Revival","Adolf Hitler"
"Moloko Plus","Fiction","Documentary","Adolf Hitler"
"List of people from Bruges","Bruges","UNESCO","Adolf Hitler"
"Potu","Potoo","Germany","Adolf Hitler"
"Gymnastics at the 1948 Summer Olympics – Men's pommel horse","Earls Court Exhibition Centre","Boris Johnson","Adolf Hitler"
"2016 IAAF World U20 Championships – Men's 400 metres","2016 IAAF World U20 Championships","Poland","Adolf Hitler"
"Rocky Point Holiday","Wind ensemble","Richard Wagner","Adolf Hitler"
"1982–83 NCAA Division III men's ice hockey season","National Collegiate Athletic Association","CBS","Adolf Hitler"
"1983 Pittsburgh Steelers season","Chuck Noll","Jesse Owens","Adolf Hitler"
"Agaone peruviensis","Taxonomy (biology)","Objections to evolution","Adolf Hitler"
"Phaeosoma","Taxonomy (biology)","Objections to evolution","Adolf Hitler"
"Penicillium virgatum","Taxonomy (biology)","Objections to evolution","Adolf Hitler"
"Rattlesnake Hills","Summit","Mount Elbrus","Adolf Hitler"
"Olga Averino","Russians","Russia","Adolf Hitler"
"Ophioglossaceae","Ophioglossum vulgatum","Carl Linnaeus","Adolf Hitler"
"Nepal Law Commission","Government of Nepal","Head of state","Adolf Hitler"
"Joey Pang","Yunnan","Empire of Japan","Adolf Hitler"
"Sumalee Montano","Columbus, Ohio","Germans","Adolf Hitler"
"Ali Malakouti","Assembly of Experts","Khomeini","Adolf Hitler"
"Dichomeris phaeothina","Taxonomy (biology)","Objections to evolution","Adolf Hitler"
"All the Boys Love Mandy Lane","Joe Neurauter","Innsbruck","Adolf Hitler"
"Dobberkau","Bismark, Germany","Germany","Adolf Hitler"
"Three-Sided Coin","Compilation album","Synthpop","Adolf Hitler"
"Infanta Margarita Teresa in a Blue Dress","Diego Velázquez","Expressionism","Adolf Hitler"
"2009 Caymanian general election","Cayman Islands","Commonwealth realm","Adolf Hitler"
"Hemizonella","Taxonomy (biology)","Objections to evolution","Adolf Hitler"
"2nd Battlecruiser Squadron","United Kingdom","Europe","Adolf Hitler"
"2014–15 ISU Speed Skating World Cup – World Cup 7 – Women's 1500 metres","2014–15 ISU Speed Skating World Cup","Erfurt","Adolf Hitler"
"Bierbeek","Municipalities of Belgium","Eupen-Malmedy","Adolf Hitler"
"Melodifestivalen 1967","Stockholm","Europe","Adolf Hitler"
"Bryan Meehan","Ireland","Europe","Adolf Hitler"
"Titinius","Roman naming conventions","Vienna","Adolf Hitler"
"Chhota Udaipur–Dhar line","Gujarat","Timur","Adolf Hitler"
"Blossia (gens)","Ancient Rome","Autocracy","Adolf Hitler"
"Holochilus","Pleistocene","Alps","Adolf Hitler"
"Tilak Nagar railway station","Lokmanya Tilak Terminus","Mahatma Gandhi","Adolf Hitler"
"Odigram","Pakistan","Acronym","Adolf Hitler"
"Klaus Wallas","Salzburg","Austria","Adolf Hitler"
"List of awards and nominations received by Justin Timberlake","Justin Timberlake","Time (magazine)","Adolf Hitler"
"French ship Tonnerre (1808)","Téméraire-class ship of the line","Rotterdam","Adolf Hitler"
"Akatsi College of Education","Ghana","Constitutional democracy","Adolf Hitler"
"Ivica Ampov","Yugoslavia","Adolf Hitler",""
"Hasan Sara, Mazandaran","List of countries","Commonwealth realm","Adolf Hitler"
"Lamu","Lamu cat","Copenhagen","Adolf Hitler"
"Eastern Coachella Valley","Southern California","Warner Bros","Adolf Hitler"
"Staverton Park and The Thicks, Wantisden","Site of Special Scientific Interest","Acronym","Adolf Hitler"
"List of submissions to the 62nd Academy Awards for Best Foreign Language Film","62nd Academy Awards","Indiana Jones and the Last Crusade","Adolf Hitler"
"Bill Schuette","Michigan Attorney General","Official residence","Adolf Hitler"
"Golemani Peak","Bulgarian language","Greece","Adolf Hitler"
"Marcel Herrmann Telles","São Paulo","Modernism","Adolf Hitler"
